attacker_steamid,player_name,kills,deaths,headshot_kills,total_damage,avg_kill_distance,kd_ratio,headshot_pct,matches_played,total_kills,total_deaths,overall_kd,kills_per_match,deaths_per_match,damage_per_match,ak47_usage_pct,awp_usage_pct,m4a1_silencer_usage_pct,deagle_usage_pct,glock_usage_pct,kd_ratio_std,kd_ratio_min,kd_ratio_max,headshot_pct_std,kills_std
76561198965249056,TriBorgg1,37,35,16,2236,18.233034,1.05,38.45,2,37,35,1.0571428571428572,18.5,17.5,1118.0,40.54054054054054,0.0,40.54054054054054,0.0,5.405405405405405,0.07,1.0,1.1,35.57,4.95
76561198971718392,Neityu,18,26,9,1230,15.752916,0.6923076923076923,50.0,1,18,26,0.6923076923076923,18.0,26.0,1230.0,55.55555555555556,0.0,33.33333333333333,0.0,0.0,0.0,0.69,0.69,0.0,0.0
76561198976881234,bluewh1te,16,14,11,1322,14.933707,1.1428571428571428,68.8,1,16,14,1.1428571428571428,16.0,14.0,1322.0,50.0,0.0,12.5,6.25,0.0,0.0,1.14,1.14,0.0,0.0
76561199012381348,F0R3VER,45,32,29,3569,17.904469,1.40625,64.6,2,45,32,1.40625,22.5,16.0,1784.5,28.888888888888886,0.0,40.0,2.2222222222222223,6.666666666666667,0.13,1.31,1.5,2.97,2.12
76561199032362645,bl1x1,17,15,11,1415,18.947153,1.1333333333333333,64.7,1,17,15,1.1333333333333333,17.0,15.0,1415.0,52.94117647058824,0.0,17.647058823529413,0.0,0.0,0.0,1.13,1.13,0.0,0.0
76561199034495166,Sowalio,20,13,13,1579,21.414059,1.5384615384615383,65.0,1,20,13,1.5384615384615385,20.0,13.0,1579.0,25.0,0.0,30.0,0.0,10.0,0.0,1.54,1.54,0.0,0.0
76561199095171343,executor,19,14,10,1413,16.53557,1.3571428571428572,52.6,1,19,14,1.3571428571428572,19.0,14.0,1413.0,52.63157894736842,0.0,36.84210526315789,0.0,0.0,0.0,1.36,1.36,0.0,0.0
76561199103826639,reV3nnn,6,16,2,714,11.302503,0.375,33.3,1,6,16,0.375,6.0,16.0,714.0,16.666666666666664,66.66666666666666,0.0,0.0,16.666666666666664,0.0,0.38,0.38,0.0,0.0
76561199228548850,turbo,20,32,17,1814,18.154286,0.6031746031746031,84.5,2,20,32,0.625,10.0,16.0,907.0,55.00000000000001,0.0,15.0,5.0,0.0,0.25,0.43,0.78,1.7,5.66
76561199238748352,yuramyata,10,18,4,996,29.446442,0.5555555555555556,40.0,1,10,18,0.5555555555555556,10.0,18.0,996.0,10.0,60.0,0.0,0.0,10.0,0.0,0.56,0.56,0.0,0.0
76561199277904177,suki,22,8,15,1851,16.064726,2.75,68.2,1,22,8,2.75,22.0,8.0,1851.0,31.818181818181817,0.0,45.45454545454545,9.090909090909092,9.090909090909092,0.0,2.75,2.75,0.0,0.0
